case_id,customer_id,flagged_txn_id,window,window_start,window_end,transaction_count,online_count,in_person_count,amount_sum,median_amount
HHG-016,C09988,3534820,7d,2016-12-04 22:39:08,2016-12-12 01:39:08,1,1,0,59.67,59.67
HHG-016,C09988,3534820,30d,2016-11-11 22:39:08,2016-12-12 01:39:08,2,2,0,116.80000000000001,58.400000000000006
HHG-017,C04570,3450629,24h,2016-11-10 23:46:24,2016-11-12 00:46:24,3,3,0,300.14,100.09
HHG-017,C04570,3450629,48h,2016-11-09 23:46:24,2016-11-12 00:46:24,3,3,0,300.14,100.09
HHG-017,C04570,3450629,7d,2016-11-04 23:46:24,2016-11-12 00:46:24,3,3,0,300.14,100.09
HHG-017,C04570,3450629,30d,2016-10-12 23:46:24,2016-11-12 00:46:24,5,4,1,954.1200000000001,100.09
HHG-018,C02354,3491361,24h,2016-11-26 13:41:26,2016-11-27 14:41:26,44,2,42,6729.179999999999,116.95
HHG-018,C02354,3491361,48h,2016-11-25 13:41:26,2016-11-27 14:41:26,97,4,93,14789.910000000002,113.0
HHG-018,C02354,3491361,7d,2016-11-20 13:41:26,2016-11-27 14:41:26,267,12,255,41411.9,92.0
HHG-018,C02354,3491361,30d,2016-10-28 13:41:26,2016-11-27 14:41:26,1160,54,1106,170480.7,91.96
HHG-019,C07987,3503878,24h,2016-11-30 17:28:53,2016-12-01 22:28:53,1,1,0,99.92,99.92
HHG-019,C07987,3503878,48h,2016-11-29 17:28:53,2016-12-01 22:28:53,2,1,1,216.82999999999998,108.41499999999999
HHG-019,C07987,3503878,7d,2016-11-24 17:28:53,2016-12-01 22:28:53,4,1,3,587.66,108.41499999999999
HHG-019,C07987,3503878,30d,2016-11-01 17:28:53,2016-12-01 22:28:53,27,9,18,8793.95,226.03
HHG-020,C12265,3509359,24h,2016-12-02 06:04:26,2016-12-03 12:04:26,1,1,0,125.08,125.08
HHG-020,C12265,3509359,48h,2016-12-01 06:04:26,2016-12-03 12:04:26,1,1,0,125.08,125.08
HHG-020,C12265,3509359,7d,2016-11-26 06:04:26,2016-12-03 12:04:26,7,1,6,863.07,141.02
HHG-020,C12265,3509359,30d,2016-11-03 06:04:26,2016-12-03 12:04:26,25,1,24,2598.37,107.96
