case_id,trigger_type,flagged_txn_id,customer_id,card_id,opened_at,risk_score,amount,channel,ProductCD,card_testing_strength,card_testing_direction,cnp_strength,cnp_direction,cnp_new_device_strength,cnp_new_device_direction,out_of_region_strength,out_of_region_direction,account_takeover_strength,account_takeover_direction,new_device_strength,new_device_direction,proxy_network_strength,proxy_network_direction,identity_match_status_strength,identity_match_status_direction,shared_device_profile_strength,shared_device_profile_direction,channel_novelty_strength,channel_novelty_direction,product_novelty_strength,product_novelty_direction,post_flagged_activity_strength,post_flagged_activity_direction,out_of_region_behavior_strength,out_of_region_behavior_direction,email_novelty_strength,email_novelty_direction,historical_case_strength,historical_case_direction,repeated_historical_abuse_strength,repeated_historical_abuse_direction,historical_cleared_signal,strong_evidence_count,medium_evidence_count,weak_evidence_count,not_material_evidence_count,supporting_evidence_count,contradicting_evidence_count,context_evidence_count,independent_evidence_count,independent_evidence_groups,contradiction_count,fraud_probability,decision,stop_reason
HHG-011,customer_report,3583368,C11923,C11923-K2,2016-12-29T06:27:44,0.39,131.3,online,C,strong,supports_fraud,,,medium,supports_fraud,,,,,medium,supports_fraud,,,,,medium,supports_fraud,,,,,weak,context,,,,,strong,supports_fraud,strong,supports_fraud,medium,3,4,1,0,6,1,1,4,behavioral_pattern|historical|identity_device|network,1,,,
HHG-012,risk_score,3553342,C05876,C05876-K2,2016-12-18T05:00:31,0.55,30.91,in_person,W,,,,,,,,,,,,,,,,,,,,,,,,,,,weak,context,medium,supports_fraud,,,medium,0,2,1,0,1,1,1,1,historical,1,,,
HHG-013,risk_score,3526826,C07671,C07671-K2,2016-12-09T05:39:29,0.76,35.66,online,C,,,,,medium,supports_fraud,,,medium,supports_fraud,medium,supports_fraud,,,,,weak,context,,,,,weak,context,,,,,strong,supports_fraud,strong,supports_fraud,medium,2,4,2,0,5,1,2,4,behavioral_identity|behavioral_pattern|historical|identity_device,1,,,
HHG-014,analyst_request,3478561,C13487,C13487-K1,2016-11-22T20:11:00,0.05,74.96,online,C,,,,,medium,supports_fraud,,,medium,supports_fraud,medium,supports_fraud,medium,supports_fraud,weak,context,weak,context,,,,,weak,context,,,,,,,,,,0,4,3,0,4,0,3,4,behavioral_identity|behavioral_pattern|identity_device|identity_network,0,,,
HHG-015,risk_score,3464869,C03042,C03042-K1,2016-11-17T19:03:36,0.77,599.94,online,R,,,,,medium,supports_fraud,,,medium,supports_fraud,medium,supports_fraud,,,weak,context,weak,context,,,,,,,,,,,strong,supports_fraud,strong,supports_fraud,medium,2,4,2,0,5,1,2,4,behavioral_identity|behavioral_pattern|historical|identity_device,1,,,
HHG-016,customer_report,3534820,C09988,C09988-K1,2016-12-12T01:39:08,0.37,59.67,online,C,,,,,medium,supports_fraud,,,,,medium,supports_fraud,,,,,weak,context,,,,,,,,,,,,,,,,0,2,1,0,2,0,1,2,behavioral_pattern|identity_device,0,,,
HHG-017,risk_score,3450629,C04570,C04570-K1,2016-11-12T00:46:24,0.57,100.09,online,R,,,medium,supports_fraud,,,,,,,,,medium,supports_fraud,weak,context,weak,context,,,,,,,,,,,weak,context,,,medium,0,3,3,0,2,1,3,2,behavioral_pattern|identity_network,1,,,
HHG-018,customer_report,3491361,C02354,C02354-K2,2016-11-27T14:41:26,0.48,39.08,in_person,W,,,,,,,,,,,,,,,,,,,,,,,weak,context,,,,,strong,supports_fraud,strong,supports_fraud,medium,2,1,1,0,2,1,1,1,historical,1,,,
HHG-019,risk_score,3503878,C07987,C07987-K2,2016-12-01T22:28:53,0.9,99.92,online,R,,,,,medium,supports_fraud,,,medium,supports_fraud,medium,supports_fraud,,,weak,context,strong,supports_fraud,,,,,,,,,,,strong,supports_fraud,strong,supports_fraud,medium,3,4,1,0,6,1,1,5,behavioral_identity|behavioral_pattern|historical|identity_device|network,1,,,
HHG-020,risk_score,3509359,C12265,C12265-K2,2016-12-03T12:04:26,0.52,125.08,online,R,,,,,medium,supports_fraud,,,,,medium,supports_fraud,,,weak,context,weak,context,,,weak,supports_fraud,,,,,weak,context,strong,supports_fraud,strong,supports_fraud,,2,2,4,0,5,0,3,3,behavioral_pattern|historical|identity_device,0,,,
