case_id,customer_id,opened_at,outcome,target_txn_id,target_selection,actual_fraud,fraud_probability,audit_group,confidence_error
CC-5401,C07196,2016-10-28 20:16:39,cleared,3405877,first_txn_ids,0,0.7886497946254583,middle_probability_case,0.7886497946254583
CC-5331,C02147,2016-10-27 03:46:55,cleared,3401751,first_txn_ids,0,0.781264024713611,middle_probability_case,0.781264024713611
CC-4529,C07119,2016-10-07 23:46:09,cleared,3342747,first_txn_ids,0,0.7699594176408552,middle_probability_case,0.7699594176408552
CC-4592,C03676,2016-10-09 07:26:19,cleared,3347632,first_txn_ids,0,0.7628761827357607,middle_probability_case,0.7628761827357607
CC-4708,C07185,2016-10-11 14:35:14,cleared,3354397,first_txn_ids,0,0.7276525212451556,middle_probability_case,0.7276525212451556
CC-5392,C05654,2016-10-28 17:05:31,confirmed_fraud,3404579,first_fraud_txn_id,1,0.2924582207101896,middle_probability_case,0.7075417792898104
CC-4988,C03277,2016-10-18 18:24:55,cleared,3375983,first_txn_ids,0,0.7024224979748724,middle_probability_case,0.7024224979748724
CC-5077,C05690,2016-10-20 16:43:20,cleared,3381282,first_txn_ids,0,0.7014588563834031,middle_probability_case,0.7014588563834031
CC-5259,C04105,2016-10-25 02:45:16,cleared,3395404,first_txn_ids,0,0.7014588563834031,middle_probability_case,0.7014588563834031
CC-5076,C06840,2016-10-20 16:03:13,confirmed_fraud,3380534,first_fraud_txn_id,1,0.3260194917519844,middle_probability_case,0.6739805082480156
CC-5200,C07750,2016-10-23 20:42:38,cleared,3390208,first_txn_ids,0,0.6699389381922317,middle_probability_case,0.6699389381922317
CC-5035,C09998,2016-10-19 18:42:33,cleared,3378637,first_txn_ids,0,0.656887585279208,middle_probability_case,0.656887585279208
CC-4734,C03411,2016-10-12 06:44:53,cleared,3357010,first_txn_ids,0,0.652763767661865,middle_probability_case,0.652763767661865
CC-4591,C11670,2016-10-09 07:15:54,cleared,3347077,first_txn_ids,0,0.6484344903243463,middle_probability_case,0.6484344903243463
CC-5468,C04556,2016-10-30 07:43:13,cleared,3410925,first_txn_ids,0,0.646990910027602,middle_probability_case,0.646990910027602
CC-4811,C08269,2016-10-14 03:08:53,confirmed_fraud,3356923,first_fraud_txn_id,1,0.3704464193935645,middle_probability_case,0.6295535806064355
CC-5052,C04861,2016-10-20 03:35:38,confirmed_fraud,3379879,first_fraud_txn_id,1,0.3794831046911833,middle_probability_case,0.6205168953088167
CC-5102,C06899,2016-10-21 11:24:36,confirmed_fraud,3382437,first_fraud_txn_id,1,0.3899986135399626,middle_probability_case,0.6100013864600373
CC-4778,C10492,2016-10-13 06:54:19,cleared,3360129,first_txn_ids,0,0.6087560806820269,middle_probability_case,0.6087560806820269
CC-4462,C00452,2016-10-06 20:34:08,confirmed_fraud,3338194,first_fraud_txn_id,1,0.4299336492697546,middle_probability_case,0.5700663507302455
CC-4783,C01983,2016-10-13 10:59:58,cleared,3360141,first_txn_ids,0,0.5694376179072587,middle_probability_case,0.5694376179072587
CC-5227,C09735,2016-10-24 06:34:20,cleared,3392114,first_txn_ids,0,0.5660083948451361,middle_probability_case,0.5660083948451361
CC-4563,C03385,2016-10-08 20:00:43,confirmed_fraud,3343797,first_fraud_txn_id,1,0.4360590036951444,middle_probability_case,0.5639409963048556
CC-5371,C09221,2016-10-28 02:31:04,cleared,3403375,first_txn_ids,0,0.562138386705723,middle_probability_case,0.562138386705723
CC-5207,C02897,2016-10-23 22:57:53,confirmed_fraud,3388102,first_fraud_txn_id,1,0.4430675977260999,middle_probability_case,0.5569324022739002
CC-4475,C13191,2016-10-07 02:53:19,cleared,3339243,first_txn_ids,0,0.5517128578954744,middle_probability_case,0.5517128578954744
CC-5008,C01801,2016-10-19 02:52:57,cleared,3377574,first_txn_ids,0,0.5517128578954744,middle_probability_case,0.5517128578954744
CC-5114,C07523,2016-10-21 19:13:32,cleared,3384107,first_txn_ids,0,0.5168244171239955,middle_probability_case,0.5168244171239955
CC-4538,C09363,2016-10-08 06:23:07,cleared,3344545,first_txn_ids,0,0.5101149190799653,middle_probability_case,0.5101149190799653
CC-5137,C07149,2016-10-22 08:37:16,cleared,3386355,first_txn_ids,0,0.5101149190799653,middle_probability_case,0.5101149190799653
CC-5249,C04446,2016-10-24 21:25:27,cleared,3393487,first_txn_ids,0,0.4751206526211581,middle_probability_case,0.4751206526211581
CC-5167,C09206,2016-10-23 03:05:56,cleared,3388671,first_txn_ids,0,0.4466869117071619,middle_probability_case,0.4466869117071619
CC-5290,C06851,2016-10-25 22:51:13,cleared,3396744,first_txn_ids,0,0.4383579660330788,middle_probability_case,0.4383579660330788
CC-4467,C07646,2016-10-07 00:54:13,confirmed_fraud,3338137,first_fraud_txn_id,1,0.5723650694606104,middle_probability_case,0.4276349305393896
CC-4981,C09939,2016-10-18 15:13:37,confirmed_fraud,3373388,first_fraud_txn_id,1,0.5753205113902778,middle_probability_case,0.42467948860972216
CC-4784,C09791,2016-10-13 11:51:41,confirmed_fraud,3360325,first_fraud_txn_id,1,0.5753205113902778,middle_probability_case,0.42467948860972216
CC-4688,C05029,2016-10-11 04:48:20,confirmed_fraud,3350856,first_fraud_txn_id,1,0.5753205113902778,middle_probability_case,0.42467948860972216
CC-4898,C06898,2016-10-16 11:00:47,cleared,3369223,first_txn_ids,0,0.4105499988814949,middle_probability_case,0.4105499988814949
CC-5487,C04665,2016-10-30 18:23:21,confirmed_fraud,3409528,first_fraud_txn_id,1,0.5950816908735247,middle_probability_case,0.4049183091264753
CC-4932,C03992,2016-10-17 09:12:59,cleared,3371763,first_txn_ids,0,0.3813961013446855,middle_probability_case,0.3813961013446855
CC-4965,C08334,2016-10-18 03:36:58,cleared,3374696,first_txn_ids,0,0.3794831046911833,middle_probability_case,0.3794831046911833
CC-5193,C05903,2016-10-23 17:55:13,cleared,3390242,first_txn_ids,0,0.3608091086074192,middle_probability_case,0.3608091086074192
CC-5246,C05902,2016-10-24 20:04:05,confirmed_fraud,3390581,first_fraud_txn_id,1,0.646990910027602,middle_probability_case,0.353009089972398
CC-4816,C07646,2016-10-14 07:12:56,cleared,3363136,first_txn_ids,0,0.3445788131963223,middle_probability_case,0.3445788131963223
CC-4570,C02753,2016-10-08 23:49:18,cleared,3345181,first_txn_ids,0,0.3445788131963223,middle_probability_case,0.3445788131963223
CC-4757,C03542,2016-10-12 22:45:14,confirmed_fraud,3357470,first_fraud_txn_id,1,0.6603525060952171,middle_probability_case,0.3396474939047829
CC-5142,C11844,2016-10-22 10:51:01,cleared,3386766,first_txn_ids,0,0.3353823929908964,middle_probability_case,0.3353823929908964
CC-4602,C12785,2016-10-09 13:47:50,confirmed_fraud,3341344,first_fraud_txn_id,1,0.6677154260689612,middle_probability_case,0.33228457393103883
CC-5126,C05192,2016-10-22 01:03:02,confirmed_fraud,3384175,first_fraud_txn_id,1,0.6845476391296837,middle_probability_case,0.31545236087031625
CC-5014,C00426,2016-10-19 05:00:57,cleared,3377599,first_txn_ids,0,0.3092749832944273,middle_probability_case,0.3092749832944273
CC-5132,C08540,2016-10-22 06:32:42,cleared,3386736,first_txn_ids,0,0.2912217983719055,middle_probability_case,0.2912217983719055
CC-5300,C02147,2016-10-26 06:52:12,confirmed_fraud,3397512,first_fraud_txn_id,1,0.7308468504985036,middle_probability_case,0.2691531495014964
CC-5198,C12028,2016-10-23 20:00:08,confirmed_fraud,3389926,first_fraud_txn_id,1,0.7414576389003579,middle_probability_case,0.2585423610996421
CC-5078,C01393,2016-10-20 17:41:44,cleared,3381279,first_txn_ids,0,0.244308295204156,middle_probability_case,0.244308295204156
CC-4968,C00768,2016-10-18 07:31:47,cleared,3374684,first_txn_ids,0,0.2434896037886676,middle_probability_case,0.2434896037886676
CC-5413,C13328,2016-10-29 00:02:14,cleared,3406458,first_txn_ids,0,0.2367150720412605,middle_probability_case,0.2367150720412605
CC-4931,C11011,2016-10-17 09:12:52,cleared,3371962,first_txn_ids,0,0.2320246340367075,middle_probability_case,0.2320246340367075
CC-4885,C02968,2016-10-16 05:24:27,cleared,3368551,first_txn_ids,0,0.2274037875297991,middle_probability_case,0.2274037875297991
CC-5458,C09068,2016-10-29 23:34:01,cleared,3408869,first_txn_ids,0,0.2256153118081729,middle_probability_case,0.2256153118081729
CC-5307,C11750,2016-10-26 10:17:59,confirmed_fraud,3398975,first_fraud_txn_id,1,0.7778982591135519,middle_probability_case,0.22210174088644807
CC-5236,C07605,2016-10-24 09:51:26,cleared,3392779,first_txn_ids,0,0.2216338745739505,middle_probability_case,0.2216338745739505
CC-4831,C11444,2016-10-14 17:15:00,confirmed_fraud,3363250,first_fraud_txn_id,1,0.7791723941442722,middle_probability_case,0.2208276058557278
CC-5163,C07513,2016-10-23 00:06:37,confirmed_fraud,3388868,first_fraud_txn_id,1,0.7880782045688187,middle_probability_case,0.21192179543118128
CC-5212,C12111,2016-10-23 23:28:52,confirmed_fraud,3389661,first_fraud_txn_id,1,0.7886497946254583,middle_probability_case,0.21135020537454174
CC-5143,C10644,2016-10-22 11:49:11,confirmed_fraud,3385335,first_fraud_txn_id,1,0.7896900326874899,middle_probability_case,0.21030996731251006
CC-4566,C08618,2016-10-08 23:06:02,cleared,3345068,first_txn_ids,0,0.2100060899391019,middle_probability_case,0.2100060899391019
CC-5534,C08746,2016-10-31 21:25:01,confirmed_fraud,3412384,first_fraud_txn_id,1,0.7957723238845988,middle_probability_case,0.20422767611540116
CC-5062,C02263,2016-10-20 09:31:10,cleared,3380616,first_txn_ids,0,0.2007491265472988,middle_probability_case,0.2007491265472988
CC-5292,C07862,2016-10-26 00:09:12,cleared,3396625,first_txn_ids,0,0.18897188422445,middle_probability_case,0.18897188422445
CC-4801,C12028,2016-10-13 21:42:33,confirmed_fraud,3359976,first_fraud_txn_id,1,0.8159522972786355,middle_probability_case,0.1840477027213645
CC-5306,C01002,2016-10-26 08:30:48,confirmed_fraud,3397935,first_fraud_txn_id,1,0.8182527343751423,middle_probability_case,0.18174726562485766
CC-5491,C11807,2016-10-30 21:51:12,confirmed_fraud,3411521,first_fraud_txn_id,1,0.8214577390705927,middle_probability_case,0.17854226092940728
CC-4681,C10900,2016-10-11 00:45:10,cleared,3352777,first_txn_ids,0,0.1633384384230974,middle_probability_case,0.1633384384230974
CC-5358,C12336,2016-10-27 19:29:02,confirmed_fraud,3400456,first_fraud_txn_id,1,0.8403000519750466,middle_probability_case,0.15969994802495335
CC-5179,C02393,2016-10-23 09:55:40,confirmed_fraud,3389595,first_fraud_txn_id,1,0.8491571245775539,middle_probability_case,0.15084287542244612
CC-4685,C03213,2016-10-11 01:55:05,cleared,3351929,first_txn_ids,0,0.1488755083319867,middle_probability_case,0.1488755083319867
CC-4890,C12975,2016-10-16 07:31:37,confirmed_fraud,3367680,first_fraud_txn_id,1,0.8521770150722292,middle_probability_case,0.1478229849277708
CC-5047,C08833,2016-10-20 00:43:09,cleared,3379479,first_txn_ids,0,0.1420976038752255,middle_probability_case,0.1420976038752255
CC-5262,C12972,2016-10-25 04:47:17,cleared,3395410,first_txn_ids,0,0.1407419315455885,middle_probability_case,0.1407419315455885
CC-4819,C13171,2016-10-14 09:42:29,cleared,3363087,first_txn_ids,0,0.1338448086299536,middle_probability_case,0.1338448086299536
CC-5029,C09657,2016-10-19 15:40:26,confirmed_fraud,3363140,first_fraud_txn_id,1,0.8671355691244649,middle_probability_case,0.13286443087553512
CC-5127,C04828,2016-10-22 01:23:38,confirmed_fraud,3384859,first_fraud_txn_id,1,0.8738029423727292,middle_probability_case,0.12619705762727085
CC-4874,C04352,2016-10-15 20:00:25,confirmed_fraud,3359903,first_fraud_txn_id,1,0.8738029423727292,middle_probability_case,0.12619705762727085
CC-4726,C05192,2016-10-12 00:44:10,confirmed_fraud,3356191,first_fraud_txn_id,1,0.8738029423727292,middle_probability_case,0.12619705762727085
CC-4994,C08905,2016-10-18 21:52:32,confirmed_fraud,3375142,first_fraud_txn_id,1,0.8769049565968717,middle_probability_case,0.12309504340312827
CC-4882,C07241,2016-10-16 03:30:50,cleared,3368350,first_txn_ids,0,0.1198709518017411,middle_probability_case,0.1198709518017411
CC-4553,C07531,2016-10-08 13:54:30,cleared,3344808,first_txn_ids,0,0.1198709518017411,middle_probability_case,0.1198709518017411
CC-5214,C03549,2016-10-23 23:48:37,confirmed_fraud,3388827,first_fraud_txn_id,1,0.8816605805770067,middle_probability_case,0.11833941942299331
CC-5459,C06130,2016-10-29 23:51:13,cleared,3408925,first_txn_ids,0,0.1115648497724375,middle_probability_case,0.1115648497724375
CC-5368,C09708,2016-10-28 00:58:32,cleared,3404149,first_txn_ids,0,0.1103103966071869,middle_probability_case,0.1103103966071869
CC-5164,C07360,2016-10-23 00:38:11,cleared,3388336,first_txn_ids,0,0.1099125718755836,middle_probability_case,0.1099125718755836
CC-5129,C04844,2016-10-22 05:18:34,cleared,3386470,first_txn_ids,0,0.1063035554256381,middle_probability_case,0.1063035554256381
CC-5203,C06026,2016-10-23 21:21:11,cleared,3391436,first_txn_ids,0,0.1057948990621676,middle_probability_case,0.1057948990621676
CC-5162,C08269,2016-10-22 22:49:29,cleared,3388613,first_txn_ids,0,0.1017824811837871,middle_probability_case,0.1017824811837871
