case_id,label,outcome,customer_id,target_txn_id,target_selection,opened_at,closed_at,target_ts,target_after_case_open,risk_score,amount,channel,ProductCD,strong_evidence_count,medium_evidence_count,weak_evidence_count,not_material_evidence_count,supporting_evidence_count,contradicting_evidence_count,context_evidence_count,strong_support_count,medium_support_count,weak_support_count,strong_contradiction_count,medium_contradiction_count,weak_contradiction_count,independent_evidence_count,independent_evidence_groups,contradiction_count,card_testing,cnp,cnp_new_device,account_takeover,out_of_region,new_device,proxy_network,channel_novelty,product_novelty,out_of_region_behavior,repeated_historical_abuse,shared_device_profile,card_testing_strength,cnp_strength,cnp_new_device_strength,account_takeover_strength,out_of_region_strength,new_device_strength,proxy_network_strength,channel_novelty_strength,product_novelty_strength,out_of_region_behavior_strength,email_novelty_strength,post_flagged_activity_strength,shared_device_profile_strength,historical_case_strength,historical_cleared_signal,repeated_historical_abuse_strength,historical_case_count,historical_confirmed_count,historical_cleared_count,shared_device_customer_count,shared_device_other_customer_count,shared_device_transaction_count,device_profile_specificity,txn_count_24h,txn_count_48h,txn_count_7d,txn_count_30d,online_count_24h,online_count_48h,online_count_7d,in_person_count_7d,small_auth_count_24h,small_auth_count_48h,small_auth_count_7d,post_flagged_activity_until_case_open,is_new_region,home_activity_continues,modal_home_region_proxy,purchaser_email_seen_before,recipient_email_seen_before,email_novelty,feature_cutoff
CC-0011,1,confirmed_fraud,C13259,3000989,first_fraud_txn_id,2016-07-03 07:46:35,2016-07-06 16:46:35,2016-07-02 16:46:35,False,0.09,149.95,online,H,1,1,3,0,4,0,1,1,1,2,0,0,0,2,identity_device|network,0,0,0,0,0,0,1,0,1,1,0,0,1,,,,,,medium,,weak,weak,,weak,,strong,,,,0,0,0,3,2,3,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-03 07:46:35
CC-0012,1,confirmed_fraud,C07220,3002019,first_fraud_txn_id,2016-07-03 08:40:41,2016-07-07 23:40:41,2016-07-02 23:40:41,False,0.46,123.52,online,C,0,1,0,0,1,0,0,0,1,0,0,0,0,1,behavioral_pattern,0,0,1,0,0,0,0,0,0,0,0,0,0,,medium,,,,,,,,,,,,,,,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,,1,1,0,2016-07-03 08:40:41
CC-0013,1,confirmed_fraud,C11464,3002951,first_fraud_txn_id,2016-07-03 09:17:43,2016-07-06 06:17:43,2016-07-03 06:17:43,False,0.6,261.95,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,5,6,6,6,0,0,0,6,0,0,0,1,0,1,310.0,1,0,1,2016-07-03 09:17:43
CC-0014,1,confirmed_fraud,C01002,3002010,first_fraud_txn_id,2016-07-03 09:35:08,2016-07-08 23:35:08,2016-07-02 23:35:08,False,0.68,75.15,online,C,0,1,2,0,1,0,2,0,1,0,0,0,0,1,behavioral_pattern,0,0,1,0,0,0,0,0,0,0,0,0,1,,medium,,,,,,,,,weak,,weak,,,,0,0,0,26,25,66,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,,0,0,1,2016-07-03 09:35:08
CC-0015,0,cleared,C04597,3002758,first_txn_ids,2016-07-03 11:43:21,2016-07-05 03:43:21,2016-07-03 03:43:21,False,0.92,93.8,online,C,0,1,2,0,1,0,2,0,1,0,0,0,0,1,identity_device,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,medium,,,,,,weak,weak,,,,0,0,0,26,25,66,2,11,12,12,12,11,12,12,0,0,0,0,2,0,0,,1,1,0,2016-07-03 11:43:21
CC-0016,1,confirmed_fraud,C03575,3001839,first_fraud_txn_id,2016-07-03 18:31:19,2016-07-04 22:31:19,2016-07-02 22:31:19,False,0.49,68.46,in_person,W,0,2,2,0,2,0,2,0,2,0,0,0,0,2,behavioral_pattern|geographic_behavior,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,medium,,,,,medium,weak,weak,,,,,0,0,0,0,0,0,0,14,14,14,14,1,1,1,13,0,0,0,9,1,1,325.0,1,0,1,2016-07-03 18:31:19
CC-0017,0,cleared,C03651,3003172,first_txn_ids,2016-07-03 18:52:00,2016-07-04 12:52:00,2016-07-03 12:52:00,False,0.88,149.97,online,R,2,4,1,0,6,0,1,2,4,0,0,0,0,5,behavioral_identity|behavioral_pattern|identity_device|identity_network|network,0,0,1,1,1,0,1,1,0,0,0,0,1,,medium,medium,strong,,medium,medium,,,,weak,,strong,,,,0,0,0,2,1,2,4,5,5,5,5,3,3,3,2,0,0,0,0,0,0,,1,0,1,2016-07-03 18:52:00
CC-0018,1,confirmed_fraud,C06800,3001565,first_fraud_txn_id,2016-07-03 19:37:07,2016-07-04 20:37:07,2016-07-02 20:37:07,False,0.88,150.07,online,R,0,2,3,0,4,0,1,0,2,2,0,0,0,2,identity_device|identity_network,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,medium,medium,weak,weak,,weak,,,,,,0,0,0,0,0,0,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-03 19:37:07
CC-0019,1,confirmed_fraud,C06208,3002476,first_fraud_txn_id,2016-07-03 21:52:10,2016-07-05 01:52:10,2016-07-03 01:52:10,False,0.73,225.09,online,R,1,1,4,0,4,0,2,1,1,2,0,0,0,2,behavioral_identity|identity_device,0,0,0,0,1,0,1,0,1,1,0,0,0,,,,strong,,medium,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,4,3,3,3,3,1,1,1,2,0,0,0,2,0,0,,0,0,1,2016-07-03 21:52:10
CC-0020,1,confirmed_fraud,C11082,3000808,first_fraud_txn_id,2016-07-03 21:54:56,2016-07-09 16:54:56,2016-07-02 15:24:27,False,0.68,99.94,in_person,W,0,0,4,0,2,0,2,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,0,5,5,5,5,0,0,0,5,0,0,0,4,1,0,,0,0,1,2016-07-03 21:54:56
CC-0021,0,cleared,C04265,3003708,first_txn_ids,2016-07-03 22:08:36,2016-07-05 16:08:36,2016-07-03 16:08:36,False,0.86,50.09,online,H,1,1,3,0,4,0,1,1,1,2,0,0,0,2,identity_device|network,0,0,0,0,0,0,1,0,1,1,0,0,1,,,,,,medium,,weak,weak,,weak,,strong,,,,0,0,0,2,1,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-03 22:08:36
CC-0022,1,confirmed_fraud,C07847,3001611,first_fraud_txn_id,2016-07-03 22:54:31,2016-07-04 20:54:31,2016-07-02 20:54:31,False,0.53,100.04,online,H,1,1,4,0,4,0,2,1,1,2,0,0,0,2,behavioral_identity|behavioral_pattern,0,0,1,0,1,0,0,0,1,1,0,0,0,,medium,,strong,,,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,4,8,8,8,8,2,2,2,6,0,0,0,7,0,0,,0,0,1,2016-07-03 22:54:31
CC-0023,0,cleared,C11309,3004228,first_txn_ids,2016-07-03 23:05:27,2016-07-05 18:05:27,2016-07-03 18:05:27,False,0.94,24.91,online,H,1,1,2,0,2,0,2,1,1,0,0,0,0,2,behavioral_identity|identity_device,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,strong,,medium,,,,,weak,weak,,,,,0,0,0,0,0,0,4,30,34,34,34,22,25,25,9,0,0,0,8,0,0,,1,0,1,2016-07-03 23:05:27
CC-0024,1,confirmed_fraud,C06059,3003459,first_fraud_txn_id,2016-07-03 23:13:51,2016-07-08 15:13:51,2016-07-03 15:03:46,False,0.87,900.08,in_person,W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,weak,,,,,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,1,1,0,126.0,0,0,0,2016-07-03 23:13:51
CC-0025,1,confirmed_fraud,C12311,3003546,first_fraud_txn_id,2016-07-03 23:24:56,2016-07-05 15:24:56,2016-07-03 15:24:56,False,0.17,100.0,in_person,W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,weak,,,,,0,0,0,0,0,0,0,4,6,6,6,0,0,0,6,0,0,0,2,0,0,220.0,0,0,0,2016-07-03 23:24:56
CC-0026,0,cleared,C08842,3004354,first_txn_ids,2016-07-03 23:36:27,2016-07-05 18:36:27,2016-07-03 18:36:27,False,0.99,200.07,online,R,1,3,4,0,5,0,3,1,3,1,0,0,0,3,behavioral_identity|behavioral_pattern|identity_device,0,0,1,1,1,0,1,0,0,1,0,0,1,,medium,medium,strong,,medium,,,weak,,weak,weak,weak,,,,0,0,0,7,6,9,4,17,20,20,20,3,3,3,17,0,0,0,10,0,0,,1,0,1,2016-07-03 23:36:27
CC-0027,1,confirmed_fraud,C02999,3003757,first_fraud_txn_id,2016-07-04 00:21:14,2016-07-05 16:21:14,2016-07-03 16:21:14,False,0.87,59.06,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,4,4,4,4,0,0,0,4,0,0,0,2,0,1,325.0,1,0,1,2016-07-04 00:21:14
CC-0028,1,confirmed_fraud,C07741,3003607,first_fraud_txn_id,2016-07-04 00:40:19,2016-07-07 15:40:19,2016-07-03 15:40:19,False,0.1,250.04,online,R,1,1,3,0,3,0,2,1,1,1,0,0,0,2,behavioral_identity|behavioral_pattern,0,0,1,0,1,0,0,0,0,1,0,0,0,,medium,,strong,,,,,weak,,weak,weak,,,,,0,0,0,0,0,0,4,13,13,13,13,3,3,3,10,0,0,0,6,0,0,,1,0,1,2016-07-04 00:40:19
CC-0029,1,confirmed_fraud,C03277,3000150,first_fraud_txn_id,2016-07-04 00:43:03,2016-07-06 00:43:03,2016-07-02 01:38:35,False,0.2,150.05,online,H,0,1,5,0,3,0,3,0,1,2,0,0,0,1,behavioral_pattern,0,0,1,0,0,0,0,0,1,1,0,0,1,,medium,,,,,,weak,weak,,weak,weak,weak,,,,0,0,0,5,4,5,4,4,4,4,4,4,4,4,0,0,0,0,3,0,0,,0,0,1,2016-07-04 00:43:03
CC-0030,1,confirmed_fraud,C04762,3003913,first_fraud_txn_id,2016-07-04 00:57:01,2016-07-07 16:57:01,2016-07-03 16:57:01,False,0.26,59.01,in_person,W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,,,,,,0,0,0,0,0,0,0,1,3,3,3,0,0,0,3,0,0,0,0,1,0,494.0,0,0,1,2016-07-04 00:57:01
CC-0031,1,confirmed_fraud,C11923,3001820,first_fraud_txn_id,2016-07-04 01:23:36,2016-07-07 22:23:36,2016-07-02 22:23:36,False,0.07,20.36,online,C,0,1,2,0,1,0,2,0,1,0,0,0,0,1,identity_device,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,medium,,,,,,weak,weak,,,,0,0,0,5,4,9,2,168,168,168,168,168,168,168,0,0,0,0,117,0,0,,1,1,0,2016-07-04 01:23:36
CC-0032,0,cleared,C09289,3005276,first_txn_ids,2016-07-04 02:02:25,2016-07-05 22:02:25,2016-07-03 22:02:25,False,0.85,100.01,online,R,2,1,3,0,5,0,1,2,1,2,0,0,0,3,behavioral_identity|identity_device|network,0,0,0,0,1,0,1,0,1,1,0,0,1,,,,strong,,medium,,weak,weak,,weak,,strong,,,,0,0,0,2,1,2,4,3,3,3,3,1,1,1,2,0,0,0,0,0,0,,1,0,1,2016-07-04 02:02:25
CC-0033,1,confirmed_fraud,C05704,3001937,first_fraud_txn_id,2016-07-04 02:32:22,2016-07-08 23:32:22,2016-07-02 23:10:37,False,0.15,116.91,in_person,W,0,2,2,0,2,0,2,0,2,0,0,0,0,2,behavioral_pattern|geographic_behavior,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,medium,,,,,medium,weak,weak,,,,,0,0,0,0,0,0,0,76,76,76,76,49,49,49,27,0,0,0,46,1,1,204.0,1,0,1,2016-07-04 02:32:22
CC-0034,0,cleared,C03880,3005972,first_txn_ids,2016-07-04 02:48:44,2016-07-05 00:48:44,2016-07-04 00:48:44,False,0.89,1486.49,in_person,W,0,0,3,0,2,0,1,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,,0,0,1,2016-07-04 02:48:44
CC-0035,1,confirmed_fraud,C09196,3004895,first_fraud_txn_id,2016-07-04 03:40:55,2016-07-08 20:40:55,2016-07-03 20:40:55,False,0.93,150.05,online,R,0,1,4,0,3,0,2,0,1,2,0,0,0,1,identity_network,0,0,0,0,0,0,0,1,1,1,0,0,1,,,,,,,medium,weak,weak,,weak,,weak,,,,0,0,0,31,30,43,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-04 03:40:55
CC-0036,1,confirmed_fraud,C03738,3003325,first_fraud_txn_id,2016-07-04 04:15:53,2016-07-06 14:15:53,2016-07-03 14:15:53,False,0.76,137.01,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,16,16,16,16,1,1,1,15,0,0,0,14,0,1,441.0,0,0,1,2016-07-04 04:15:53
CC-0037,0,cleared,C05996,3006461,first_txn_ids,2016-07-04 04:29:21,2016-07-07 03:29:21,2016-07-04 03:29:21,False,0.84,31.38,online,C,0,3,1,0,3,0,1,0,3,0,0,0,0,2,behavioral_pattern|identity_device,0,0,1,1,0,0,1,0,0,0,0,0,1,,medium,medium,,,medium,,,,,,,weak,,,,0,0,0,9,8,14,2,2,3,5,5,2,3,5,0,0,0,0,0,0,0,,1,1,0,2016-07-04 04:29:21
CC-0038,0,cleared,C02717,3006275,first_txn_ids,2016-07-04 05:10:48,2016-07-07 02:10:48,2016-07-04 02:10:48,False,0.86,200.01,online,R,0,1,4,0,3,0,2,0,1,2,0,0,0,1,identity_device,0,0,0,0,0,0,1,0,1,1,0,0,1,,,,,,medium,,weak,weak,,weak,,weak,,,,0,0,0,8,7,8,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-04 05:10:48
CC-0039,1,confirmed_fraud,C13061,3004695,first_fraud_txn_id,2016-07-04 05:52:18,2016-07-08 19:52:18,2016-07-03 19:52:18,False,0.25,170.93,in_person,W,0,0,3,0,2,0,1,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,,0,0,1,2016-07-04 05:52:18
CC-0040,0,cleared,C08675,3006416,first_txn_ids,2016-07-04 06:10:07,2016-07-05 03:10:07,2016-07-04 03:10:07,False,0.9,49.97,online,H,0,1,4,0,3,0,2,0,1,2,0,0,0,1,identity_device,0,0,0,0,0,0,1,0,1,1,0,0,1,,,,,,medium,,weak,weak,,weak,,weak,,,,0,0,0,4,3,5,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-04 06:10:07
CC-0041,1,confirmed_fraud,C07648,3003842,first_fraud_txn_id,2016-07-04 06:39:11,2016-07-07 16:39:11,2016-07-03 16:39:11,False,0.11,75.03,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,100,109,109,109,10,15,15,94,0,0,0,51,0,1,325.0,1,0,1,2016-07-04 06:39:11
CC-0042,0,cleared,C12094,3006354,first_txn_ids,2016-07-04 07:37:59,2016-07-05 02:37:59,2016-07-04 02:37:59,False,0.91,49.95,online,H,1,3,2,0,4,0,2,1,3,0,0,0,0,3,behavioral_identity|behavioral_pattern|identity_device,0,0,1,1,1,0,1,0,0,0,0,0,1,,medium,medium,strong,,medium,,,,,weak,,weak,,,,0,0,0,29,28,44,4,30,45,46,46,3,4,4,42,0,0,0,0,0,0,,1,0,1,2016-07-04 07:37:59
CC-0043,1,confirmed_fraud,C10164,3002981,first_fraud_txn_id,2016-07-04 08:03:02,2016-07-09 07:03:02,2016-07-03 07:03:02,False,0.43,87.01,in_person,W,0,0,4,0,2,0,2,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,0,5,5,5,5,0,0,0,5,0,0,0,4,1,0,,0,0,1,2016-07-04 08:03:02
CC-0044,1,confirmed_fraud,C06147,3005476,first_fraud_txn_id,2016-07-04 09:49:26,2016-07-05 22:49:26,2016-07-03 22:49:26,False,0.37,13.33,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,44,50,50,50,1,1,1,49,0,0,0,10,1,0,327.0,1,0,1,2016-07-04 09:49:26
CC-0045,1,confirmed_fraud,C07212,3001632,first_fraud_txn_id,2016-07-04 10:11:50,2016-07-05 22:11:50,2016-07-02 21:01:41,False,0.72,200.05,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,48,48,48,48,27,27,27,21,0,0,0,36,1,0,204.0,1,0,1,2016-07-04 10:11:50
CC-0046,1,confirmed_fraud,C01579,3002840,first_fraud_txn_id,2016-07-04 10:37:34,2016-07-08 04:37:34,2016-07-03 04:37:34,False,0.12,10.04,online,S,1,1,3,0,4,0,1,1,1,2,0,0,0,2,identity_device|network,0,0,0,0,0,0,1,0,1,1,0,0,1,,,,,,medium,,weak,weak,,weak,,strong,,,,0,0,0,2,1,6,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-04 10:37:34
CC-0047,1,confirmed_fraud,C03108,3002820,first_fraud_txn_id,2016-07-04 11:05:08,2016-07-08 20:05:08,2016-07-03 04:25:13,False,0.31,10.07,online,S,2,0,4,0,4,0,2,2,0,2,0,0,0,2,behavioral_identity|network,0,0,0,0,1,0,0,0,1,1,0,0,1,,,,strong,,,,weak,weak,,weak,weak,strong,,,,0,0,0,2,1,6,4,8,8,8,8,5,5,5,3,0,0,0,7,0,0,,0,0,1,2016-07-04 11:05:08
CC-0048,1,confirmed_fraud,C11309,3006432,first_fraud_txn_id,2016-07-04 11:15:59,2016-07-06 03:15:59,2016-07-04 03:15:59,False,0.23,149.96,online,H,0,1,3,0,1,0,3,0,1,0,0,0,0,1,behavioral_identity,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,medium,,,,,,,weak,weak,weak,,,,0,0,0,4,3,5,4,24,41,41,41,21,32,32,9,0,0,0,1,0,0,,0,1,1,2016-07-04 11:15:59
CC-0049,1,confirmed_fraud,C01638,3004818,first_fraud_txn_id,2016-07-04 11:25:48,2016-07-07 20:25:48,2016-07-03 20:25:22,False,0.5,200.02,online,R,0,1,4,0,3,0,2,0,1,2,0,0,0,1,behavioral_pattern,0,0,1,0,0,0,0,0,1,1,0,0,0,,medium,,,,,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,0,0,0,1,0,0,,0,0,1,2016-07-04 11:25:48
CC-0050,1,confirmed_fraud,C09221,3006044,first_fraud_txn_id,2016-07-04 13:08:31,2016-07-06 01:08:31,2016-07-04 01:08:31,False,0.37,48.01,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,7,11,13,13,0,0,0,13,0,0,0,2,1,0,428.0,0,0,1,2016-07-04 13:08:31
CC-0051,1,confirmed_fraud,C05976,3006772,first_fraud_txn_id,2016-07-04 14:46:15,2016-07-07 10:46:15,2016-07-04 10:43:02,False,0.05,79.97,in_person,W,0,0,4,0,2,0,2,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0,0,1,1,0,,0,0,1,2016-07-04 14:46:15
CC-0052,1,confirmed_fraud,C11595,3004914,first_fraud_txn_id,2016-07-04 15:45:08,2016-07-05 20:45:08,2016-07-03 20:45:08,False,0.73,52.36,online,C,0,0,3,0,2,0,1,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-04 15:45:08
CC-0053,1,confirmed_fraud,C02000,3006690,first_fraud_txn_id,2016-07-04 17:06:12,2016-07-06 06:06:12,2016-07-04 06:06:12,False,0.04,774.08,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,7,7,7,7,0,0,0,7,0,0,0,3,1,0,337.0,1,0,1,2016-07-04 17:06:12
