split,feature,n,mean,median,std,nonzero_rate,missing_rate,q10,q25,q50,q75,q90
validation,strong_contradiction_count,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,medium_contradiction_count,1113,0.40700808625336926,0.0,0.49127640283015755,0.40700808625336926,0.0,0.0,0.0,0.0,1.0,1.0
validation,weak_contradiction_count,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,context_evidence_count,1113,1.5696316262353998,2.0,0.7161677669445778,0.9308176100628931,0.0,1.0,1.0,2.0,2.0,2.0
validation,independent_evidence_count,1113,1.4043126684636118,1.0,0.9905480069992307,0.8679245283018868,0.0,0.0,1.0,1.0,2.0,3.0
validation,card_testing,1113,0.0008984725965858042,0.0,0.029961063792512246,0.0008984725965858042,0.0,0.0,0.0,0.0,0.0,0.0
validation,cnp,1113,0.16891284815813118,0.0,0.37467492294686505,0.16891284815813118,0.0,0.0,0.0,0.0,0.0,1.0
validation,cnp_new_device,1113,0.05390835579514825,0.0,0.22583676620650578,0.05390835579514825,0.0,0.0,0.0,0.0,0.0,0.0
validation,account_takeover,1113,0.15902964959568733,0.0,0.3657037327470971,0.15902964959568733,0.0,0.0,0.0,0.0,0.0,1.0
validation,out_of_region,1113,0.0071877807726864335,0.0,0.0844755383543084,0.0071877807726864335,0.0,0.0,0.0,0.0,0.0,0.0
validation,new_device,1113,0.21024258760107817,0.0,0.4074808485804961,0.21024258760107817,0.0,0.0,0.0,0.0,0.0,1.0
validation,proxy_network,1113,0.04672057502246182,0.0,0.21103971875462763,0.04672057502246182,0.0,0.0,0.0,0.0,0.0,0.0
validation,channel_novelty,1113,0.05480682839173405,0.0,0.22760281183099007,0.05480682839173405,0.0,0.0,0.0,0.0,0.0,0.0
validation,product_novelty,1113,0.0862533692722372,0.0,0.28073782353189297,0.0862533692722372,0.0,0.0,0.0,0.0,0.0,0.0
validation,out_of_region_behavior,1113,0.0071877807726864335,0.0,0.0844755383543084,0.0071877807726864335,0.0,0.0,0.0,0.0,0.0,0.0
validation,repeated_historical_abuse,1113,0.6352201257861635,1.0,0.48136838033087936,0.6352201257861635,0.0,0.0,0.0,1.0,1.0,1.0
validation,shared_device_profile,1113,0.4384546271338724,0.0,0.4961977096669929,0.4384546271338724,0.0,0.0,0.0,0.0,1.0,1.0
validation,__LABEL__,1113,0.8984725965858041,1.0,0.30202580977487176,0.8984725965858041,0.0,0.0,1.0,1.0,1.0,1.0
test,risk_score,1113,0.5158490566037736,0.54,0.2751012598697963,1.0,0.0,0.13,0.26,0.54,0.76,0.88
test,strong_support_count,1113,1.4743935309973046,2.0,0.9719887337323548,0.7205750224618149,0.0,0.0,0.0,2.0,2.0,2.0
test,medium_support_count,1113,0.6343216531895777,0.0,0.9685851301774464,0.40970350404312667,0.0,0.0,0.0,0.0,1.0,2.0
test,weak_support_count,1113,0.12219227313566937,0.0,0.44194076072140726,0.07816711590296496,0.0,0.0,0.0,0.0,0.0,0.0
test,strong_contradiction_count,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,medium_contradiction_count,1113,0.4564240790655885,0.0,0.49809751968336274,0.4564240790655885,0.0,0.0,0.0,0.0,1.0,1.0
test,weak_contradiction_count,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,context_evidence_count,1113,1.5345911949685536,2.0,0.6945547669859855,0.9308176100628931,0.0,1.0,1.0,2.0,2.0,2.0
test,independent_evidence_count,1113,1.3504043126684635,1.0,0.9682016740507065,0.8769092542677448,0.0,0.0,1.0,1.0,2.0,3.0
test,card_testing,1113,0.004492362982929021,0.0,0.06687437220459441,0.004492362982929021,0.0,0.0,0.0,0.0,0.0,0.0
test,cnp,1113,0.1752021563342318,0.0,0.38013992259438784,0.1752021563342318,0.0,0.0,0.0,0.0,0.0,1.0
test,cnp_new_device,1113,0.07097933513027853,0.0,0.2567903213026965,0.07097933513027853,0.0,0.0,0.0,0.0,0.0,0.0
test,account_takeover,1113,0.1069182389937107,0.0,0.30900927035316345,0.1069182389937107,0.0,0.0,0.0,0.0,0.0,1.0
test,out_of_region,1113,0.0071877807726864335,0.0,0.0844755383543084,0.0071877807726864335,0.0,0.0,0.0,0.0,0.0,0.0
test,new_device,1113,0.20664869721473494,0.0,0.4049012387659338,0.20664869721473494,0.0,0.0,0.0,0.0,0.0,1.0
test,proxy_network,1113,0.0215633423180593,0.0,0.1452527610275739,0.0215633423180593,0.0,0.0,0.0,0.0,0.0,0.0
test,channel_novelty,1113,0.0440251572327044,0.0,0.2051510242805043,0.0440251572327044,0.0,0.0,0.0,0.0,0.0,0.0
test,product_novelty,1113,0.07816711590296496,0.0,0.2684343828468652,0.07816711590296496,0.0,0.0,0.0,0.0,0.0,0.0
test,out_of_region_behavior,1113,0.0071877807726864335,0.0,0.0844755383543084,0.0071877807726864335,0.0,0.0,0.0,0.0,0.0,0.0
test,repeated_historical_abuse,1113,0.6873315363881402,1.0,0.4635805167114543,0.6873315363881402,0.0,0.0,0.0,1.0,1.0,1.0
test,shared_device_profile,1113,0.37915543575920935,0.0,0.4851768659916232,0.37915543575920935,0.0,0.0,0.0,0.0,1.0,1.0
test,__LABEL__,1113,0.9011680143755616,1.0,0.29843629846580194,0.9011680143755616,0.0,1.0,1.0,1.0,1.0,1.0
