case_id,benchmark_customer_id,historical_case_id,historical_card_id,opened_at,closed_at,outcome,pattern,first_fraud_txn_id,n_txns,exposure_usd,connected_card_ids,report_filed
HHG-008,C13171,CC-3422,C13171-K2,2016-09-13T08:11:47,2016-09-17T02:11:47,confirmed_fraud,card_not_present_fraud,3262531.0,2,124.24,,No
HHG-008,C13171,CC-3566,C13171-K2,2016-09-16T18:50:28,2016-09-20T23:50:28,confirmed_fraud,card_not_present_fraud,3270963.0,2,88.07,,No
HHG-008,C13171,CC-3728,C13171-K2,2016-09-20T09:24:14,2016-09-25T01:24:14,confirmed_fraud,card_not_present_fraud,3280741.0,3,113.95,,No
HHG-008,C13171,CC-3928,C13171-K2,2016-09-25T06:58:46,2016-09-30T07:58:46,confirmed_fraud,card_not_present_new_device,3288848.0,4,165.82,,No
HHG-008,C13171,CC-4163,C13171-K2,2016-09-30T09:42:15,2016-10-05T21:42:15,confirmed_fraud,card_not_present_new_device,3302372.0,7,582.46,,No
HHG-008,C13171,CC-4485,C13171-K2,2016-10-07T05:02:14,2016-10-11T03:02:14,confirmed_fraud,card_not_present_new_device,3334243.0,3,105.12,,No
HHG-008,C13171,CC-4819,C13171-K2,2016-10-14T09:42:29,2016-10-15T03:42:29,cleared,none,,1,0.0,,No
HHG-008,C13171,CC-5010,C13171-K2,2016-10-19T03:56:05,2016-10-23T05:56:05,confirmed_fraud,card_not_present_new_device,3355424.0,17,629.26,,No
HHG-010,C10434,CC-0873,C10434-K1,2016-07-21T11:56:18,2016-07-23T05:56:18,cleared,none,,1,0.0,,No
HHG-011,C11923,CC-0031,C11923-K2,2016-07-04T01:23:36,2016-07-07T22:23:36,confirmed_fraud,card_not_present_new_device,3001820.0,1,20.36,,No
HHG-011,C11923,CC-0290,C11923-K2,2016-07-09T19:59:09,2016-07-10T23:59:09,confirmed_fraud,card_testing,3009374.0,8,144.56,,No
HHG-011,C11923,CC-1056,C11923-K2,2016-07-24T02:41:55,2016-07-25T23:41:55,confirmed_fraud,card_not_present_new_device,3031806.0,28,1557.95,,Yes
HHG-011,C11923,CC-2247,C11923-K2,2016-08-17T14:07:24,2016-08-21T19:07:24,confirmed_fraud,card_testing,3103128.0,71,4886.18,,Yes
HHG-011,C11923,CC-2673,C11923-K2,2016-08-27T18:54:07,2016-09-02T06:54:07,confirmed_fraud,card_testing,3186138.0,33,1334.96,,Yes
HHG-011,C11923,CC-2799,C11923-K2,2016-08-30T19:24:37,2016-09-02T01:24:37,confirmed_fraud,card_not_present_new_device,3216701.0,2,36.14,,No
HHG-011,C11923,CC-3039,C11923-K2,2016-09-04T17:18:26,2016-09-09T01:18:26,confirmed_fraud,card_not_present_new_device,3227364.0,8,108.85,,No
HHG-011,C11923,CC-3206,C11923-K2,2016-09-08T09:12:22,2016-09-13T02:12:22,confirmed_fraud,card_not_present_new_device,3243592.0,3,100.24,,No
HHG-011,C11923,CC-3905,C11923-K2,2016-09-24T21:43:58,2016-09-27T19:43:58,confirmed_fraud,card_not_present_new_device,3257020.0,44,1397.53,,Yes
HHG-011,C11923,CC-4501,C11923-K2,2016-10-07T12:05:47,2016-10-11T15:05:47,confirmed_fraud,card_testing,3302336.0,28,1508.58,,Yes
HHG-011,C11923,CC-4743,C11923-K2,2016-10-12T10:17:15,2016-10-14T03:17:15,cleared,none,,1,0.0,,No
HHG-012,C05876,CC-0003,C05876-K2,2016-07-02T16:34:01,2016-07-05T13:34:01,cleared,none,,1,0.0,,No
HHG-012,C05876,CC-2370,C05876-K2,2016-08-20T03:47:41,2016-08-22T20:47:41,confirmed_fraud,card_not_present_fraud,3188990.0,2,149.99,,No
HHG-013,C07671,CC-1475,C07671-K2,2016-07-31T00:50:27,2016-08-01T20:50:27,confirmed_fraud,account_takeover,3106996.0,10,1307.98,,Yes
HHG-013,C07671,CC-3216,C07671-K2,2016-09-08T12:21:18,2016-09-12T01:21:18,confirmed_fraud,card_not_present_new_device,3247646.0,3,449.97,,No
HHG-013,C07671,CC-3761,C07671-K2,2016-09-21T02:32:39,2016-09-22T00:32:39,cleared,none,,1,0.0,,No
HHG-013,C07671,CC-4294,C07671-K2,2016-10-03T08:02:00,2016-10-08T22:02:00,confirmed_fraud,account_takeover,3320387.0,2,506.01,,No
HHG-015,C03042,CC-0615,C03042-K1,2016-07-16T19:03:49,2016-07-21T00:03:49,confirmed_fraud,card_not_present_new_device,3051990.0,1,174.99,,No
HHG-015,C03042,CC-1313,C03042-K1,2016-07-28T00:03:51,2016-07-28T22:03:51,cleared,none,,1,0.0,,No
HHG-015,C03042,CC-3886,C03042-K1,2016-09-24T10:19:55,2016-09-27T07:19:55,confirmed_fraud,card_not_present_new_device,3292070.0,1,175.05,,No
HHG-017,C04570,CC-1383,C04570-K1,2016-07-29T01:30:41,2016-08-01T00:30:41,cleared,none,,1,0.0,,No
HHG-018,C02354,CC-0255,C02354-K2,2016-07-09T00:09:53,2016-07-12T18:09:53,confirmed_fraud,account_takeover,3014915.0,7,1167.08,,Yes
HHG-018,C02354,CC-0405,C02354-K2,2016-07-12T06:45:36,2016-07-14T22:45:36,cleared,none,,1,0.0,,No
HHG-018,C02354,CC-0454,C02354-K2,2016-07-13T16:11:34,2016-07-18T04:11:34,confirmed_fraud,account_takeover,3039150.0,6,940.94,,No
HHG-018,C02354,CC-0631,C02354-K2,2016-07-16T23:16:38,2016-07-22T03:16:38,confirmed_fraud,out_of_region_use,3052607.0,2,118.17,,No
HHG-018,C02354,CC-1450,C02354-K2,2016-07-30T07:41:05,2016-08-03T22:41:05,confirmed_fraud,account_takeover,3075860.0,14,2351.25,,Yes
HHG-018,C02354,CC-1699,C02354-K2,2016-08-05T06:23:28,2016-08-09T01:23:28,confirmed_fraud,account_takeover,3140974.0,2,329.06,,No
HHG-018,C02354,CC-2051,C02354-K2,2016-08-13T03:45:51,2016-08-14T00:45:51,confirmed_fraud,account_takeover,3156759.0,5,226.12,,No
HHG-018,C02354,CC-2187,C02354-K2,2016-08-16T07:34:48,2016-08-18T13:34:48,confirmed_fraud,account_takeover,3174390.0,3,543.01,,No
HHG-018,C02354,CC-2432,C02354-K2,2016-08-21T19:44:38,2016-08-22T16:44:38,confirmed_fraud,account_takeover,3190758.0,2,359.41,,No
HHG-018,C02354,CC-2589,C02354-K2,2016-08-25T13:12:26,2016-08-29T23:12:26,confirmed_fraud,out_of_region_use,3203872.0,2,96.02,,No
HHG-018,C02354,CC-3085,C02354-K2,2016-09-05T12:11:49,2016-09-10T00:11:49,confirmed_fraud,account_takeover,3231738.0,6,2328.05,,Yes
HHG-018,C02354,CC-3537,C02354-K2,2016-09-16T03:31:31,2016-09-17T23:31:31,confirmed_fraud,out_of_region_use,3263436.0,2,275.93,,No
HHG-018,C02354,CC-3634,C02354-K2,2016-09-18T06:08:17,2016-09-20T06:08:17,confirmed_fraud,account_takeover,3274919.0,1,96.96,,No
HHG-018,C02354,CC-3899,C02354-K2,2016-09-24T18:20:06,2016-09-30T05:20:06,confirmed_fraud,account_takeover,3287842.0,6,567.93,,No
HHG-018,C02354,CC-4070,C02354-K2,2016-09-28T08:19:32,2016-10-03T14:19:32,confirmed_fraud,account_takeover,3301381.0,3,2064.03,,Yes
HHG-018,C02354,CC-4436,C02354-K2,2016-10-06T05:49:05,2016-10-07T00:49:05,confirmed_fraud,out_of_region_use,3312421.0,11,2610.53,,Yes
HHG-018,C02354,CC-4721,C02354-K2,2016-10-11T22:12:18,2016-10-16T18:12:18,confirmed_fraud,out_of_region_use,3341425.0,10,1386.57,,Yes
HHG-018,C02354,CC-4942,C02354-K2,2016-10-17T13:58:18,2016-10-22T16:58:18,confirmed_fraud,out_of_region_use,3362805.0,5,1094.94,,Yes
HHG-018,C02354,CC-5441,C02354-K2,2016-10-29T16:31:52,2016-11-01T00:31:52,confirmed_fraud,out_of_region_use,3376144.0,19,2698.02,,Yes
HHG-018,C02354,CC-5558,C02354-K2,2016-11-01T12:12:15,2016-11-06T23:12:15,confirmed_fraud,card_not_present_fraud,3417221.0,1,8.2,,No
HHG-019,C07987,CC-2011,C07987-K2,2016-08-12T03:59:36,2016-08-17T22:59:36,confirmed_fraud,out_of_region_use,3160680.0,5,3059.89,,Yes
HHG-019,C07987,CC-2087,C07987-K2,2016-08-14T00:38:57,2016-08-16T18:38:57,cleared,none,,1,0.0,,No
HHG-019,C07987,CC-2860,C07987-K2,2016-09-01T00:34:41,2016-09-02T14:34:41,confirmed_fraud,card_not_present_fraud,3222220.0,1,149.92,,No
HHG-019,C07987,CC-5026,C07987-K2,2016-10-19T12:21:43,2016-10-20T18:21:43,confirmed_fraud,out_of_region_use,3376101.0,3,309.86,,No
HHG-020,C12265,CC-2277,C12265-K2,2016-08-18T05:23:30,2016-08-22T16:23:30,confirmed_fraud,account_takeover,3182252.0,1,81.93,,No
HHG-020,C12265,CC-2447,C12265-K2,2016-08-22T05:40:17,2016-08-26T16:40:17,confirmed_fraud,account_takeover,3193949.0,1,33.95,,No
