variant,model,calibration,feature_count,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,median_probability,min_probability,max_probability
inverted_risk,logistic_regression,sigmoid_calibrated,18,0.9832185262394633,0.9982176333900886,0.03184607005965654,0.10165744320204552,0.02145487849327449,0.9076733700203748,0.9999097594831112,0.01861529361910682,0.9999984666844133
inverted_risk,random_forest,raw,18,0.9870977975165414,0.998621367440764,0.026348982073059773,0.09347648261277472,0.023002118274319173,0.8892220363416663,0.9949308888975948,0.0017961864050938736,0.9999999
inverted_risk,random_forest,sigmoid_calibrated,18,0.9870977975165414,0.998621367440764,0.028579198048448176,0.09228460506340412,0.021260953302279072,0.90948126907932,0.9978734848587438,0.0034859317520731354,0.9999999
inverted_risk,hist_gradient_boosting,raw,18,0.9871793709779751,0.9986544470514114,0.030559340412789848,0.09997355907095189,0.024048267910166638,0.9128651634930054,0.999877558564551,0.0028419822744613662,0.9999220352753264
inverted_risk,hist_gradient_boosting,sigmoid_calibrated,18,0.9871793709779751,0.9986544470514114,0.027748296632500925,0.08806762269135092,0.01579522945315743,0.9063941896079694,0.9985983599274214,0.008552949508024,0.9990056745834833
no_risk_score,logistic_regression,raw,17,0.9009562222423639,0.9870682105614171,0.06462632367899673,0.21945410930978299,0.0354843781841625,0.910737100588769,0.9947800097349,0.20038905460092665,0.9999997217652253
no_risk_score,logistic_regression,sigmoid_calibrated,17,0.9009562222423639,0.9870682105614171,0.06320283196926878,0.20781948147835227,0.033541290626472875,0.9060886087227658,0.9784022382926436,0.344893970559243,0.9999703032686644
no_risk_score,random_forest,raw,17,0.9057192060183088,0.9883455107524514,0.07715585323566643,0.24568043764415462,0.058480599615724445,0.8426874147598371,0.9809331760871774,0.0352167222338513,0.9988030651340997
no_risk_score,random_forest,sigmoid_calibrated,17,0.9057192060183088,0.9883455107524514,0.06627261092291883,0.21175160142621868,0.019594429480018712,0.9049855238815336,0.9840860147993792,0.19925270877977994,0.9980614824949108
no_risk_score,hist_gradient_boosting,raw,17,0.9106226774222786,0.9890430741996171,0.06815566509237955,0.21645221928179784,0.04037041415979007,0.9159805151922131,0.9979163198685981,0.10551889939174582,0.9997751720296136
no_risk_score,hist_gradient_boosting,sigmoid_calibrated,17,0.9106226774222786,0.9890430741996171,0.06463396679642344,0.20192994683243784,0.014837293206626422,0.9053371659918206,0.9874323935291895,0.21643948065220445,0.9972114389572797
minimal_evidence,logistic_regression,raw,15,0.8987673343605548,0.9867926546117805,0.06528345418580098,0.2208465202876488,0.0352818706266116,0.9101228804367132,0.993897163515042,0.20063900753039876,0.9999996373891955
minimal_evidence,logistic_regression,sigmoid_calibrated,15,0.8987673343605548,0.9867926546117806,0.06370957708568943,0.20895650709395777,0.02844363366475822,0.9058364680442726,0.9765366718826933,0.344423920234897,0.9999664784425379
minimal_evidence,random_forest,raw,15,0.9053158705701078,0.9882845637032855,0.07816123293139478,0.24939242514983592,0.06166459719092783,0.8418253955217048,0.9814817712026521,0.0250548693711428,0.9988719652667021
minimal_evidence,random_forest,sigmoid_calibrated,15,0.9053158705701078,0.9882845637032855,0.06726449322013961,0.21312052748780802,0.02370157853539493,0.9044162805744038,0.9843992206028356,0.1600496332893868,0.9981406861979734
minimal_evidence,hist_gradient_boosting,raw,15,0.9088507205655759,0.9888009987777409,0.06904321979879677,0.21936997177871634,0.04128027836874659,0.9150848868458571,0.9984512998010874,0.11209529814455818,0.9997700673924353
minimal_evidence,hist_gradient_boosting,sigmoid_calibrated,15,0.9088507205655759,0.9888009987777409,0.06516849580697798,0.2031829148593787,0.01748598706466282,0.9041346616236566,0.9890453193615358,0.22704242649592235,0.9969313957740344
